prefecture,prefecture_code,fiscal_year,fund_total_million_yen,fiscal_adjustment_fund_million_yen,debt_reduction_fund_million_yen,other_specific_funds_million_yen,cash_deposit_million_yen,trust_million_yen,securities_million_yen,local_bonds_million_yen,equity_contributions_million_yen,source_other_million_yen,other_assets_million_yen,standard_financial_scale_million_yen,revenue_total_million_yen,expenditure_total_million_yen,securities_ratio_pct,cash_deposit_ratio_pct,local_bond_ratio_pct,local_bond_share_of_securities_pct,fund_to_standard_scale_pct,securities_to_standard_scale_pct,securities_ratio_yoy_change_pt
福岡県,400009,2022,180114.721,45627.172,69200.346,65287.203,161562.974,0.0,18491.986,3432.064,0.0,59.761,59.761,988028.165,2277786.328,2203057.341,10.266782136036511,89.70003845493562,1.905487780757243,18.55973717479561,18.22971524298601,1.8716051480172124,
佐賀県,410004,2022,72733.802,18003.861,15928.744,38801.197,72681.334,0.0,0.0,0.0,0.0,52.468,52.468,266020.003,613699.133,595781.19,0.0,99.92786297628166,0.0,,27.34147852783837,0.0,
長崎県,420000,2022,98537.806,16558.507,28264.944,53714.355,89806.246,0.0,8731.56,2283.995,0.0,0.0,0.0,389963.591,802100.998,786301.848,8.861126865357647,91.13887313464235,2.317887004709644,26.157925960538552,25.26846307556953,2.2390705700522693,
熊本県,430005,2022,108590.422,1785.878,62102.005,44702.539,65369.241,0.0,43172.419,24590.638,0.0,48.762,48.762,435111.278,1028620.307,978345.151,39.757115042798155,60.19798044435263,22.64531028344286,56.959138657484075,24.956931132453892,9.922155821481603,
大分県,440001,2022,81174.592,10873.689,22369.351,47931.552,39495.004,0.0,41400.047,15593.272,0.0,279.541,279.541,333039.115,736303.105,699396.596,51.00123817068276,48.65439175844579,19.20954773631631,37.66486545293053,24.37389133705811,12.430986372276422,
宮崎県,450006,2022,135574.55,18546.012,45457.804,71570.734,114573.112,0.0,20864.607,1183.636,0.0,136.831,136.831,332292.602,722275.169,690519.29,15.389766737193671,84.50930650332235,0.8730517637712978,5.672936950118447,40.79974973382043,6.27898631339376,
鹿児島県,460001,2022,100241.416,17561.986,7440.656,75238.774,93215.127,0.0,6994.513,5910.696,0.0,31.776,31.776,484250.625,975815.228,921475.579,6.977667793519597,92.99063273407869,5.896460999712933,84.50475394069609,20.700317320189313,1.4443993748072086,
沖縄県,470007,2022,154701.838,42399.243,39874.83,72427.765,144839.959,0.0,9861.879,6153.347,0.0,0.0,0.0,404706.53,932266.646,912192.057,6.374765243577779,93.62523475642223,3.9775526131758046,62.39527984474358,38.22568368244515,2.436797597508496,
北海道,10006,2023,152968.813,36347.357,57496.342,59125.114,146478.813,0.0,6490.0,2000.0,0.0,0.0,0.0,1364505.815,2856219.142,2819962.872,4.242694881864581,95.75730511813542,1.3074560498812264,30.81664098613251,11.210565123168786,0.4756300727087778,-0.49786355825707584
青森県,20001,2023,149325.697,17547.085,21107.312,110671.3,147123.71,0.0,2130.0,2130.0,0.0,71.987,71.987,378359.033,709754.981,681161.044,1.4264122269591684,98.52537972750933,1.4264122269591684,100.0,39.46666630792451,0.5629573537894099,-0.9937631062962637
