prefecture,prefecture_code,R4_fund_total_million_yen,R4_cash_deposit_million_yen,R4_securities_million_yen,R4_securities_ratio_pct,R4_cash_deposit_ratio_pct,R4_local_bond_ratio_pct,R4_standard_financial_scale_million_yen,R4_securities_to_standard_scale_pct,R5_fund_total_million_yen,R5_cash_deposit_million_yen,R5_securities_million_yen,R5_securities_ratio_pct,R5_cash_deposit_ratio_pct,R5_local_bond_ratio_pct,R5_standard_financial_scale_million_yen,R5_securities_to_standard_scale_pct,R6_fund_total_million_yen,R6_cash_deposit_million_yen,R6_securities_million_yen,R6_securities_ratio_pct,R6_cash_deposit_ratio_pct,R6_local_bond_ratio_pct,R6_standard_financial_scale_million_yen,R6_securities_to_standard_scale_pct,R4_R6_securities_ratio_change_pt,R4_R6_securities_change_million_yen,R4_R6_securities_growth_pct,R4_R6_cash_deposit_decline_million_yen,typology
岐阜県,210005,102223.735,70233.398,31990.337,31.29443176772987,68.70556823227012,22.09981370764823,484482.95,6.602985099888448,109598.169,68107.832,41490.337,37.85677934090304,62.143220659096954,27.364740920078695,490011.911,8.467209891965258,104932.751,87936.037,16996.714,16.197720766893838,83.80227923310616,11.305360706687276,499987.218,3.3994297030209277,-15.09671100083603,-14993.623,-46.86922491626143,-17702.638999999996,C: 高比率だが増加は小さい/低下
静岡県,220001,141581.59,115006.001,26575.589,18.770511759332553,81.22948824066746,11.153489659213461,726566.363,3.6576960279676474,138766.81,110715.978,28050.832,20.214366821576427,79.78563317842358,12.584335548248173,737591.268,3.803032006609926,134484.874,103835.74,30649.134,22.790023211086176,77.20997678891382,14.422603392556995,749388.142,4.089887774071557,4.019511451753623,4073.5449999999983,15.328145690392784,11170.260999999999,A: 有価証券比率が高く、さらに増加
愛知県,230006,375740.291,371291.216,4200.0,1.1177933537077076,98.8159175082983,1.1177933537077076,1400259.697,0.2999443609637792,362174.752,357725.591,4196.504,1.1586958993762215,98.771543025727,1.1586958993762215,1440405.836,0.2913417798732107,508506.815,504031.713,4196.504,0.8252601295028857,99.1199524041777,0.8252601295028857,1475278.78,0.2844549828067072,-0.29253322420482186,-3.4960000000000946,-0.0832380952380975,-132740.49699999997,D: 現預金中心・シフト小
三重県,240001,95352.551,93521.66,1830.891,1.920127968049853,98.07987203195015,1.920127968049853,445218.907,0.41123388320074195,107532.002,105416.415,2115.587,1.9674022250604057,98.03259777493959,1.9674022250604057,450753.939,0.4693440959591925,118416.029,115992.335,2423.694,2.046761760605906,97.9532382393941,2.046761760605906,458694.146,0.5283900004252506,0.12663379255605278,592.8029999999999,32.37784226368473,-22470.675000000003,B: 低位から相対的にシフト
滋賀県,250007,88514.298,85973.003,2377.909,2.686468800780638,97.12894407183798,0.0,346850.325,0.6855720835781255,92388.084,89942.781,2276.591,2.4641608543370155,97.35322685120302,0.0,352918.448,0.6450756578188285,94893.134,91579.046,3145.084,3.314343058792852,96.50755764900755,0.0,363762.355,0.8645985371410959,0.6278742580122141,767.1749999999997,32.26258868611035,-5606.043000000005,B: 低位から相対的にシフト
京都府,260002,18999.383,16999.671,1999.712,10.525141790130762,89.47485820986923,6.315994577297588,534645.298,0.37402592101352405,27312.408,25312.696,1999.712,7.321624662314652,92.67837533768535,4.393607476865459,540357.771,0.3700718500446994,40942.949,39742.949,1200.0,2.9309075904620356,97.06909240953796,2.9309075904620356,554905.11,0.21625318966696847,-7.594234199668726,-799.712,-39.99135875566082,-22743.278000000002,D: 現預金中心・シフト小
大阪府,270008,475332.101,466944.822,6428.604,1.3524447405246884,98.23549072693493,0.5510176978348029,1661424.631,0.386933230677498,461714.712,453957.238,5904.284,1.2787732005386043,98.31985557349968,0.479186160305847,1707056.365,0.34587516388189093,492472.474,485477.235,4996.836,1.0146426985886727,98.57956751507699,0.30901869248432356,1751270.393,0.2853263562253348,-0.3378020419360157,-1431.768,-22.27183382270863,-18532.413,D: 現預金中心・シフト小
兵庫県,280003,104886.668,96754.363,5866.0,5.592703164142844,92.24657894557198,0.0,1101386.098,0.5326016018044927,131909.391,124041.494,5638.0,4.274146031043385,94.03537766314152,0.0,1121332.872,0.502794499366108,122663.096,115079.856,5301.0,4.321593187245168,93.81783091468684,0.0,1151101.969,0.4605152404182883,-1.2711099768976766,-565.0,-9.631776338220252,-18325.493000000002,D: 現預金中心・シフト小
奈良県,290009,188313.884,175723.329,12499.9,6.637800535195801,93.3140590950798,0.0,336500.795,3.714671758799262,187961.238,153677.958,34200.0,18.195240871950418,81.76045212045263,0.0,339864.651,10.062829393810656,185826.454,141533.101,44200.0,23.785633879662797,76.16412946242842,0.0,347203.691,12.730279413993904,17.147833344466996,31700.1,253.60282882263058,34190.228,A: 有価証券比率が高く、さらに増加
和歌山県,300004,71325.299,71325.299,0.0,0.0,100.0,0.0,305574.736,0.0,81509.951,81509.951,0.0,0.0,100.0,0.0,306373.803,0.0,82457.827,82457.827,0.0,0.0,100.0,0.0,310205.791,0.0,0.0,0.0,,-11132.528000000006,B: 低位から相対的にシフト
