決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,60003,山形県,山形県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,18910392,391,391,0,0,18910392,18910392,0,0,0,0,0
2023,62,70009,福島県,福島県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,29929775,0,0,0,0,29929775,29929775,0,0,0,0,0
2023,62,80004,茨城県,茨城県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,47245371,4672612,112430,0,0,51805553,51805553,0,0,0,0,0
2023,62,90000,栃木県,栃木県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,34676363,3168753,5033000,0,0,32812116,32812116,0,0,0,0,0
2023,62,100005,群馬県,群馬県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,1489,3964153,883239,0,0,3082403,3082403,0,0,0,0,0
2023,62,110001,埼玉県,埼玉県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,33257393,9154455,0,0,0,42411848,14499797,0,27912051,27438321,0,0
2023,62,120006,千葉県,千葉県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,41585046,8314980,0,0,-2,49900024,49900024,0,0,0,0,0
2023,62,130001,東京都,東京都,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,0,0,0,0,0,0,0,0,0,0,0,0
2023,62,140007,神奈川県,神奈川県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,55705550,17746391,17277447,0,0,56174494,56174494,0,0,0,0,0
2023,62,150002,新潟県,新潟県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,33195362,7920386,0,0,2191434,43307182,41067182,0,2240000,0,0,0
2023,62,160008,富山県,富山県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,26702331,2272660,5000000,0,0,23974991,11974991,0,12000000,0,0,0
2023,62,170003,石川県,石川県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,52434615,5816805,4800000,0,0,53451420,53451420,0,0,0,0,0
2023,62,180009,福井県,福井県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,3316203,144858,0,0,0,3461061,3461061,0,0,0,0,0
2023,62,190004,山梨県,山梨県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,16848785,1840486,0,0,90,18689361,18689361,0,0,0,0,0
